day,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-0.0005
7,-0.0005
8,-0.0005
9,-0.0005
10,-0.0005
11,-0.0005
12,-0.0005
13,-0.0005
14,-0.0005
15,-0.0005
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,-2.5e-05
25,-0.00037
26,-0.001021
27,-0.001521
28,-0.001521
29,-0.001521
30,-0.001521
31,-0.001521
32,-0.000414
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,-0.000246
41,-0.000833
42,-0.001333
43,-0.001333
44,-0.001333
45,-0.001333
46,-0.001333
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,-0.00026
58,-0.00083
59,-0.00133
60,-0.00133
61,-0.00133
62,-0.00133
63,-0.00133
64,-0.00133
65,-0.000442
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,-7.1e-05
72,-0.000462
73,-0.001164
74,-0.001664
75,-0.001664
76,-0.001664
77,-0.001664
78,-0.001664
79,-0.000465
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,-0.000126
88,-0.000626
89,-0.000626
90,-0.000626
91,-0.000626
92,-0.000626
93,-0.000626
94,-0.000626
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,-0.0005
105,-0.0005
106,-0.0005
107,-0.0005
108,-0.0005
109,-0.0005
110,-0.0005
111,-0.0005
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,-9.6e-05
119,-0.000518
