day,policy,regime,zscore,position,daily_return,equity
0,adaptive_rl_proxy,trending,0.0,0,-0.0,1.0
1,adaptive_rl_proxy,trending,1.0,0,-0.0,1.0
2,adaptive_rl_proxy,trending,1.2174,0,-0.0,1.0
3,adaptive_rl_proxy,trending,1.3153,0,-0.0,1.0
4,adaptive_rl_proxy,trending,1.3553,-1,0.001025,1.001025
5,adaptive_rl_proxy,trending,1.357,-1,0.001281,1.002307
6,adaptive_rl_proxy,trending,1.327,0,-0.0005,1.001806
7,adaptive_rl_proxy,trending,1.2666,0,-0.0,1.001806
8,adaptive_rl_proxy,trending,1.174,0,-0.0,1.001806
9,adaptive_rl_proxy,trending,1.0443,0,-0.0,1.001806
10,adaptive_rl_proxy,trending,0.8704,0,0.0,1.001806
11,adaptive_rl_proxy,trending,0.6438,0,0.0,1.001806
12,adaptive_rl_proxy,mean_reverting,0.3556,0,0.0,1.001806
13,adaptive_rl_proxy,mean_reverting,0.0025,0,0.0,1.001806
14,adaptive_rl_proxy,mean_reverting,-0.4048,0,0.0,1.001806
15,adaptive_rl_proxy,mean_reverting,-0.833,0,0.0,1.001806
16,adaptive_rl_proxy,mean_reverting,-1.23,1,0.001024,1.002832
17,adaptive_rl_proxy,mean_reverting,-1.5471,1,0.001517,1.004353
18,adaptive_rl_proxy,mean_reverting,-1.7616,1,0.001443,1.005803
19,adaptive_rl_proxy,mean_reverting,-1.8788,1,0.001308,1.007118
20,adaptive_rl_proxy,mean_reverting,-2.0236,1,0.001116,1.008242
21,adaptive_rl_proxy,mean_reverting,-1.9835,1,0.000876,1.009125
22,adaptive_rl_proxy,mean_reverting,-1.8467,1,0.000598,1.009728
23,adaptive_rl_proxy,mean_reverting,-1.6694,1,0.000293,1.010024
24,adaptive_rl_proxy,mean_reverting,-1.4744,1,-2.5e-05,1.009999
25,adaptive_rl_proxy,mean_reverting,-1.2666,1,-0.000345,1.00965
26,adaptive_rl_proxy,mean_reverting,-1.042,1,-0.000651,1.008993
27,adaptive_rl_proxy,mean_reverting,-0.7913,0,-0.0005,1.008488
28,adaptive_rl_proxy,mean_reverting,-0.5006,0,-0.0,1.008488
29,adaptive_rl_proxy,mean_reverting,-0.151,0,-0.0,1.008488
30,adaptive_rl_proxy,mean_reverting,0.2782,0,-0.0,1.008488
31,adaptive_rl_proxy,mean_reverting,0.7947,0,-0.0,1.008488
32,adaptive_rl_proxy,mean_reverting,1.3548,-1,0.001108,1.009606
33,adaptive_rl_proxy,mean_reverting,1.8311,-1,0.001555,1.011176
34,adaptive_rl_proxy,mean_reverting,2.0934,-1,0.001437,1.01263
35,adaptive_rl_proxy,mean_reverting,2.1375,-1,0.001259,1.013904
36,adaptive_rl_proxy,mean_reverting,2.0477,-1,0.001026,1.014944
37,adaptive_rl_proxy,mean_reverting,1.8965,-1,0.000748,1.015703
38,adaptive_rl_proxy,mean_reverting,1.7205,-1,0.000435,1.016145
39,adaptive_rl_proxy,mean_reverting,1.5324,-1,9.9e-05,1.016246
40,adaptive_rl_proxy,mean_reverting,1.3334,-1,-0.000246,1.015996
41,adaptive_rl_proxy,mean_reverting,1.1182,-1,-0.000588,1.015399
42,adaptive_rl_proxy,mean_reverting,0.8776,0,-0.0005,1.014891
43,adaptive_rl_proxy,mean_reverting,0.5975,0,0.0,1.014891
44,adaptive_rl_proxy,mean_reverting,0.2583,0,0.0,1.014891
45,adaptive_rl_proxy,mean_reverting,-0.1633,0,0.0,1.014891
46,adaptive_rl_proxy,mean_reverting,-0.6836,0,0.0,1.014891
47,adaptive_rl_proxy,mean_reverting,-1.2732,1,0.001391,1.016303
48,adaptive_rl_proxy,mean_reverting,-1.8102,1,0.001905,1.018239
49,adaptive_rl_proxy,mean_reverting,-2.14,1,0.001851,1.020123
50,adaptive_rl_proxy,mean_reverting,-2.2332,1,0.001732,1.02189
51,adaptive_rl_proxy,mean_reverting,-2.1746,1,0.001553,1.023477
52,adaptive_rl_proxy,mean_reverting,-2.0478,1,0.00132,1.024828
53,adaptive_rl_proxy,mean_reverting,-1.8969,1,0.001044,1.025898
54,adaptive_rl_proxy,mean_reverting,-1.7392,1,0.000736,1.026653
55,adaptive_rl_proxy,mean_reverting,-1.5796,1,0.000407,1.02707
56,adaptive_rl_proxy,mean_reverting,-1.4173,1,7e-05,1.027142
57,adaptive_rl_proxy,mean_reverting,-1.2488,1,-0.00026,1.026875
58,adaptive_rl_proxy,mean_reverting,-1.0691,1,-0.000571,1.026289
59,adaptive_rl_proxy,mean_reverting,-0.8708,0,-0.0005,1.025776
60,adaptive_rl_proxy,mean_reverting,-0.6444,0,-0.0,1.025776
61,adaptive_rl_proxy,mean_reverting,-0.3763,0,-0.0,1.025776
62,adaptive_rl_proxy,mean_reverting,-0.0491,0,-0.0,1.025776
63,adaptive_rl_proxy,mean_reverting,0.3557,0,-0.0,1.025776
64,adaptive_rl_proxy,mean_reverting,0.8421,0,-0.0,1.025776
65,adaptive_rl_proxy,mean_reverting,1.3597,-1,0.000888,1.026688
66,adaptive_rl_proxy,mean_reverting,1.7778,-1,0.001257,1.027978
67,adaptive_rl_proxy,mean_reverting,1.9781,-1,0.001068,1.029076
68,adaptive_rl_proxy,mean_reverting,1.973,-1,0.000831,1.029931
69,adaptive_rl_proxy,mean_reverting,1.8486,-1,0.000554,1.030502
70,adaptive_rl_proxy,mean_reverting,1.6708,-1,0.00025,1.03076
71,adaptive_rl_proxy,mean_reverting,1.469,-1,-7e-05,1.030687
72,adaptive_rl_proxy,mean_reverting,1.2506,-1,-0.000392,1.030284
73,adaptive_rl_proxy,mean_reverting,1.0121,-1,-0.000702,1.02956
74,adaptive_rl_proxy,mean_reverting,0.7431,0,-0.0005,1.029045
75,adaptive_rl_proxy,mean_reverting,0.4279,0,0.0,1.029045
76,adaptive_rl_proxy,mean_reverting,0.0456,0,0.0,1.029045
77,adaptive_rl_proxy,mean_reverting,-0.424,0,0.0,1.029045
78,adaptive_rl_proxy,mean_reverting,-0.978,0,0.0,1.029045
79,adaptive_rl_proxy,mean_reverting,-1.5451,1,0.001201,1.030281
80,adaptive_rl_proxy,mean_reverting,-1.9775,1,0.001655,1.031986
81,adaptive_rl_proxy,mean_reverting,-2.1751,1,0.001544,1.03358
82,adaptive_rl_proxy,mean_reverting,-2.1753,1,0.001372,1.034997
83,adaptive_rl_proxy,mean_reverting,-2.068,1,0.001143,1.036181
84,adaptive_rl_proxy,mean_reverting,-1.9151,1,0.000868,1.037081
85,adaptive_rl_proxy,mean_reverting,-1.7449,1,0.000557,1.037659
86,adaptive_rl_proxy,mean_reverting,-1.5666,1,0.000221,1.037888
87,adaptive_rl_proxy,trending,-1.3804,1,-0.000126,1.037757
88,adaptive_rl_proxy,trending,-1.1817,0,-0.0005,1.037238
89,adaptive_rl_proxy,trending,-0.9625,0,-0.0,1.037238
90,adaptive_rl_proxy,trending,-0.7112,0,-0.0,1.037238
91,adaptive_rl_proxy,trending,-0.4115,0,-0.0,1.037238
92,adaptive_rl_proxy,trending,-0.0418,0,-0.0,1.037238
93,adaptive_rl_proxy,trending,0.42,0,-0.0,1.037238
94,adaptive_rl_proxy,trending,0.9739,0,-0.0,1.037238
95,adaptive_rl_proxy,trending,1.5478,-1,0.00136,1.038649
96,adaptive_rl_proxy,trending,1.9859,-1,0.001819,1.040538
97,adaptive_rl_proxy,trending,2.183,-1,0.001713,1.042321
98,adaptive_rl_proxy,trending,2.1819,-1,0.001546,1.043932
99,adaptive_rl_proxy,trending,2.077,-1,0.001324,1.045314
100,adaptive_rl_proxy,trending,1.9313,-1,0.001058,1.046421
101,adaptive_rl_proxy,trending,1.7726,-1,0.000758,1.047214
102,adaptive_rl_proxy,trending,1.6102,-1,0.000436,1.047671
103,adaptive_rl_proxy,trending,1.4451,-1,0.000106,1.047782
104,adaptive_rl_proxy,trending,1.2746,0,-0.0005,1.047258
105,adaptive_rl_proxy,trending,1.0937,0,0.0,1.047258
106,adaptive_rl_proxy,trending,0.8956,0,0.0,1.047258
107,adaptive_rl_proxy,trending,0.6708,0,0.0,1.047258
108,adaptive_rl_proxy,trending,0.4065,0,0.0,1.047258
109,adaptive_rl_proxy,mean_reverting,0.0858,0,0.0,1.047258
110,adaptive_rl_proxy,mean_reverting,-0.3098,0,0.0,1.047258
111,adaptive_rl_proxy,mean_reverting,-0.7865,0,0.0,1.047258
112,adaptive_rl_proxy,mean_reverting,-1.302,1,0.00086,1.048159
113,adaptive_rl_proxy,mean_reverting,-1.7343,1,0.001231,1.049449
114,adaptive_rl_proxy,mean_reverting,-1.9573,1,0.001045,1.050546
115,adaptive_rl_proxy,mean_reverting,-1.9685,1,0.000809,1.051396
116,adaptive_rl_proxy,mean_reverting,-1.8502,1,0.000532,1.051955
117,adaptive_rl_proxy,mean_reverting,-1.6718,1,0.000226,1.052193
118,adaptive_rl_proxy,mean_reverting,-1.4657,1,-9.6e-05,1.052092
119,adaptive_rl_proxy,mean_reverting,-1.2404,1,-0.000422,1.051648
